tau,alpha_target,magnetization
100.0,0.950,0.262904
100.0,0.950,0.385276
100.0,0.950,0.163300
100.0,0.950,0.084794
100.0,0.950,0.759363
100.0,0.950,0.819986
100.0,0.950,0.149215
100.0,0.950,0.599990
100.0,0.950,0.414178
100.0,0.950,0.708166
100.0,0.950,0.833508
100.0,0.950,0.337198
100.0,0.950,0.474978
100.0,0.950,0.780016
100.0,0.950,-0.282575
100.0,0.950,0.446769
100.0,0.950,0.610338
100.0,0.950,-0.099093
100.0,0.950,0.179322
100.0,0.950,0.703139
100.0,0.950,0.275592
100.0,0.950,0.507744
100.0,0.950,0.409530
100.0,0.950,0.462815
100.0,0.950,0.587854
100.0,0.950,0.491427
100.0,0.950,0.725614
100.0,0.950,0.081262
100.0,0.950,0.331038
100.0,0.950,0.738181
100.0,0.950,0.465270
100.0,0.950,0.368176
100.0,0.950,0.465763
100.0,0.950,-0.091032
100.0,0.950,0.049263
100.0,0.950,0.571507
100.0,0.850,-0.074411
100.0,0.850,0.275454
100.0,0.850,-0.217994
100.0,0.850,-0.364992
100.0,0.850,-0.081864
100.0,0.850,-0.061261
100.0,0.850,-0.185126
100.0,0.850,-0.312401
100.0,0.850,0.019266
100.0,0.850,0.113082
100.0,0.850,0.067260
100.0,0.850,-0.233720
100.0,0.850,0.032628
100.0,0.850,0.047496
100.0,0.850,-0.415764
100.0,0.850,-0.206701
100.0,0.850,-0.197230
100.0,0.850,-0.104530
100.0,0.850,-0.035574
100.0,0.850,-0.053120
100.0,0.850,-0.273286
100.0,0.850,-0.146889
100.0,0.850,-0.095748
100.0,0.850,-0.065149
100.0,0.850,-0.059769
100.0,0.850,-0.034527
100.0,0.850,0.325971
100.0,0.850,-0.155382
100.0,0.850,-0.057387
100.0,0.850,0.217371
100.0,0.850,0.182934
100.0,0.850,0.032236
100.0,0.850,-0.017484
100.0,0.850,-0.274995
100.0,0.850,0.281639
100.0,0.850,-0.047442
100.0,0.850,0.110398
100.0,0.850,-0.054633
100.0,0.850,0.224155
100.0,0.850,-0.221611
100.0,0.850,0.198953
100.0,0.850,0.053881
100.0,0.850,0.210024
100.0,0.850,0.140094
100.0,0.850,0.037770
100.0,0.850,0.230698
100.0,0.850,-0.074418
100.0,0.850,-0.138057
100.0,0.850,0.150168
100.0,0.850,-0.012339
100.0,0.850,-0.296840
100.0,0.850,-0.108229
100.0,0.850,-0.261255
100.0,0.850,-0.181830
100.0,0.850,-0.149135
100.0,0.850,-0.076126
100.0,0.850,0.054154
100.0,0.850,-0.007746
100.0,0.850,-0.397271
100.0,0.850,0.171518
100.0,0.850,-0.314611
100.0,0.850,-0.071187
100.0,0.850,-0.246126
100.0,0.850,0.033157
100.0,0.850,-0.088131
100.0,0.850,-0.049525
100.0,0.850,-0.229911
100.0,0.850,-0.106253
100.0,0.850,0.014785
100.0,0.850,0.124262
100.0,0.850,-0.282026
100.0,0.850,-0.093944
100.0,0.850,-0.211107
100.0,0.850,-0.026197
100.0,0.850,0.032163
100.0,0.850,-0.025011
100.0,0.850,0.048867
100.0,0.850,0.085407
100.0,0.850,0.200524
100.0,0.850,-0.027946
100.0,0.850,-0.080264
100.0,0.850,0.168753
100.0,0.850,0.147543
100.0,0.850,-0.238319
100.0,0.850,-0.294444
100.0,0.850,0.070426
100.0,0.850,-0.055859
100.0,0.850,-0.185172
100.0,0.850,-0.021443
100.0,0.850,-0.266089
