tau,T,success_rate
2335.7214690901214,206913.808111479,0.0
2335.7214690901214,335981.8286283781,0.0
2335.7214690901214,545559.4781168514,0.0
2335.7214690901214,885866.7904100833,0.0
2335.7214690901214,1.438449888287663e6,0.0
2335.7214690901214,2.3357214690901213e6,0.34
2335.7214690901214,3.792690190732246e6,0.4
2335.7214690901214,6.158482110660267e6,0.7
2335.7214690901214,1.0e7,0.88
4281.332398719395,1000.0,0.0
4281.332398719395,1623.7767391887226,0.0
4281.332398719395,2636.650898730358,0.0
4281.332398719395,4281.332398719395,0.0
4281.332398719395,6951.927961775606,0.0
4281.332398719395,11288.378916846883,0.0
4281.332398719395,18329.807108324374,0.0
4281.332398719395,29763.51441631319,0.0
4281.332398719395,48329.30238571752,0.0
4281.332398719395,78475.99703514607,0.0
4281.332398719395,127427.49857031347,0.0
4281.332398719395,206913.808111479,0.0
4281.332398719395,335981.8286283781,0.0
4281.332398719395,545559.4781168514,0.0
4281.332398719395,885866.7904100833,0.0
4281.332398719395,1.438449888287663e6,0.0
4281.332398719395,2.3357214690901213e6,0.0
4281.332398719395,3.792690190732246e6,0.14
4281.332398719395,6.158482110660267e6,0.46
4281.332398719395,1.0e7,0.7
7847.599703514615,1000.0,0.0
7847.599703514615,1623.7767391887226,0.0
7847.599703514615,2636.650898730358,0.0
7847.599703514615,4281.332398719395,0.0
7847.599703514615,6951.927961775606,0.0
7847.599703514615,11288.378916846883,0.0
7847.599703514615,18329.807108324374,0.0
7847.599703514615,29763.51441631319,0.0
7847.599703514615,48329.30238571752,0.0
7847.599703514615,78475.99703514607,0.0
7847.599703514615,127427.49857031347,0.0
7847.599703514615,206913.808111479,0.0
7847.599703514615,335981.8286283781,0.0
7847.599703514615,545559.4781168514,0.0
7847.599703514615,885866.7904100833,0.0
7847.599703514615,1.438449888287663e6,0.0
7847.599703514615,2.3357214690901213e6,0.0
7847.599703514615,3.792690190732246e6,0.0
7847.599703514615,6.158482110660267e6,0.14
7847.599703514615,1.0e7,0.3
14384.498882876629,1000.0,0.0
14384.498882876629,1623.7767391887226,0.0
14384.498882876629,2636.650898730358,0.0
14384.498882876629,4281.332398719395,0.0
14384.498882876629,6951.927961775606,0.0
14384.498882876629,11288.378916846883,0.0
14384.498882876629,18329.807108324374,0.0
14384.498882876629,29763.51441631319,0.0
14384.498882876629,48329.30238571752,0.0
14384.498882876629,78475.99703514607,0.0
14384.498882876629,127427.49857031347,0.0
14384.498882876629,206913.808111479,0.0
14384.498882876629,335981.8286283781,0.0
14384.498882876629,545559.4781168514,0.0
14384.498882876629,885866.7904100833,0.0
14384.498882876629,1.438449888287663e6,0.0
14384.498882876629,2.3357214690901213e6,0.0
14384.498882876629,3.792690190732246e6,0.0
14384.498882876629,6.158482110660267e6,0.0
14384.498882876629,1.0e7,0.04
26366.50898730361,1000.0,0.0
26366.50898730361,1623.7767391887226,0.0
26366.50898730361,2636.650898730358,0.0
26366.50898730361,4281.332398719395,0.0
26366.50898730361,6951.927961775606,0.0
26366.50898730361,11288.378916846883,0.0
26366.50898730361,18329.807108324374,0.0
26366.50898730361,29763.51441631319,0.0
26366.50898730361,48329.30238571752,0.0
26366.50898730361,78475.99703514607,0.0
26366.50898730361,127427.49857031347,0.0
26366.50898730361,206913.808111479,0.0
26366.50898730361,335981.8286283781,0.0
26366.50898730361,545559.4781168514,0.0
26366.50898730361,885866.7904100833,0.0
26366.50898730361,1.438449888287663e6,0.0
26366.50898730361,2.3357214690901213e6,0.0
26366.50898730361,3.792690190732246e6,0.0
26366.50898730361,6.158482110660267e6,0.0
26366.50898730361,1.0e7,0.0
48329.30238571752,1000.0,0.0
48329.30238571752,1623.7767391887226,0.0
48329.30238571752,2636.650898730358,0.0
48329.30238571752,4281.332398719395,0.0
48329.30238571752,6951.927961775606,0.0
48329.30238571752,11288.378916846883,0.0
48329.30238571752,18329.807108324374,0.0
48329.30238571752,29763.51441631319,0.0
48329.30238571752,48329.30238571752,0.0
48329.30238571752,78475.99703514607,0.0
48329.30238571752,127427.49857031347,0.0
48329.30238571752,206913.808111479,0.0
48329.30238571752,335981.8286283781,0.0
48329.30238571752,545559.4781168514,0.0
48329.30238571752,885866.7904100833,0.0
48329.30238571752,1.438449888287663e6,0.0
48329.30238571752,2.3357214690901213e6,0.0
48329.30238571752,3.792690190732246e6,0.0
48329.30238571752,6.158482110660267e6,0.0
48329.30238571752,1.0e7,0.0
88586.67904100832,1000.0,0.0
88586.67904100832,1623.7767391887226,0.0
